,AP.27JZ,AP.2XNK,AP.3336,AP.352Q,AP.3FY5,AP.4HAU,AP.4M7L,AP.52RG,AP.5JDU,AP.5L2V,AP.5MX6,AP.62LT,AP.67ZV,AP.7GDN,AP.8MWD,AP.9D3B,AP.9LNA,AP.9PXS,AP.A5NG,AP.AAFC,AP.AGZG,AP.B2SL,AP.B9CH,AP.CT3G,AP.D35H,AP.D9X4,AP.DM87,AP.DMUM,AP.DT88,AP.E7CU,AP.E98M,AP.EPNF,AP.EZEX,AP.FX68,AP.HKYN,AP.HMFR,AP.HML4,AP.JBET,AP.JK59,AP.KX5B,AP.KXUT,AP.LWHD,AP.MAZ4,AP.N8FG,AP.NMZS,AP.QAHT,AP.QUHC,AP.RA2G,AP.RBLG,AP.SJVE,AP.SS2L,AP.U8MP,AP.W455,AP.WDKZ,AP.WPAM,AP.WTXJ,AP.XCJX,AP.XSR5,AP.XVLY,AP.YTZ8
RBBP5,-0.186180027,0.445676845,-0.588612194,0.159877833,-0.233106791,0.903668455,0.114142171,0.190092414,-0.083073149,0.266900018,0.358527943,-0.353762022,-0.397217398,0.401877855,0.795672774,0.502554073,-0.253992145,0.270271937,-0.079778264,0.02659838,0.176163515,0.261390271,0.146061267,-0.003939292,-0.183483656,-0.192900485,0.11864303,0.383029903,-0.050666191,0.233634825,0.079119013,-0.0807267,0.043969266,0.212532814,-0.009291359,0.28993703,0.37214826,-0.30489897,-0.046981113,-0.226585393,0.022248161,-0.13446627,0.333726162,-0.5492439,0.481292663,0.176192474,0.201249635,-0.069066014,0.474518901,-0.48676243,0.366180016,-0.011620807,-0.180635927,-0.020451744,0.549821983,0.122894411,0.30015551,0.089580443,-0.583036555,-0.153037845
RCN1,0.934715458,-0.506145357,-1.276058467,0.311095411,-1.21304271,-0.980017648,-2.616270917,-1.148663317,-0.350838415,-0.739409128,2.18364052,-1.001656689,0.066871223,-1.444750852,0.169073656,-0.973189416,-0.788243468,-1.161242831,0.391530914,-1.395927909,-0.467501752,-0.134146695,-0.458795023,-0.503268303,-1.019318208,-0.134794235,-0.781543392,0.106714333,-1.302962025,-1.517323087,-0.984149745,-0.54456118,-0.245135754,-0.063488018,-0.067046631,0.614322554,-1.132068847,-1.629897458,1.134404667,-0.800087612,-0.385081365,-1.933318477,0.217429817,-1.236973886,-1.046516527,-0.864772362,-0.485616315,1.140077371,0.520361638,-0.397917702,-0.454810547,1.379252756,-1.175822715,-0.221051866,-0.699933301,-0.052680353,-1.584356003,0.840243668,0.280069336,-0.006876546
IRF4,-0.12804689,-1.278076174,-1.334460541,-0.413624588,-0.064918016,-0.888523515,-0.052627255,-0.14780745,-0.174531136,1.439886164,-0.896768304,1.353298706,0.975526156,-0.985718501,3.328798453,-1.053298011,-0.427878854,-1.063397626,2.015418206,0.061999893,1.432975056,-0.501862976,-0.201650833,-0.90179667,-0.407849298,-2.238754696,0.418391646,-0.502402882,0.047916867,0.794242777,-0.860255877,-1.330133888,-1.693046117,-2.418731574,-1.599691601,1.730709641,-0.643714149,-0.091976856,0.280091477,0.593177745,1.019811874,-0.145241449,1.672464994,-0.187667363,0.25085803,-0.465975184,-0.005130908,-0.127191579,-1.454510878,1.412179292,-0.569695923,-1.207929666,-0.654725877,-1.431772821,-1.41483366,-1.753752149,1.223786152,-0.823894837,1.448299553,0.308964074
RALBP1,-0.130908291,-0.195135942,0.300880092,0.454244516,0.033974203,0.552824628,0.450789,-0.128550321,-0.123527757,0.001815385,0.296807523,0.315080806,-0.252510502,-0.081051624,-0.230662516,0.017194928,-0.083055738,-0.185732772,-0.242543361,0.357540963,0.530809274,0.585329012,-0.162918882,0.518710037,-0.023200227,-0.153744086,0.0617633,-0.198727359,0.075911283,0.111800447,0.226801877,-0.171879207,0.11138826,-0.234731875,-0.075016709,-0.290730788,0.625415242,-0.162543606,0.611052788,0.127425634,0.299375491,-0.097359595,0.001878799,0.201472292,-0.108859717,0.017274945,0.590257597,0.356123034,0.233770064,-0.0458524,-0.089302142,0.121603044,-0.043191247,-0.258734258,0.248010648,-0.027570129,-0.182620115,-0.321950575,-0.250508818,-0.252852425
KRT31,-3.342390649,-0.838345161,-1.805534848,-1.736509612,-2.377827763,-2.138226105,0.785314316,-1.062094369,-1.128990415,-1.666661422,0.385902871,-0.615252777,5.607567646,3.459467014,-3.027360772,-1.643138346,0.84909197,-1.948375334,-1.55723424,-1.633005421,2.211263,-3.191177499,-2.617101537,-1.551536107,-1.214713914,-2.986114202,-0.020778882,-2.761188284,-1.623850593,-2.62671513,-3.069185719,-3.074645258,-3.27414244,-2.676803057,-1.879123907,1.95290625,-0.976962267,-2.209923291,-3.68985785,-0.549694951,-3.153995856,-3.275460831,-0.290107317,-1.146478298,-2.582484394,-2.616136526,-1.544178659,-2.5163836,-2.476740994,-2.516037533,-0.492957812,-2.38714092,-2.128643013,-1.539270463,0.026939963,-0.371480721,-1.071480295,-2.025787899,-1.00767457,-1.608597826
ZMYND11,-0.353390739,0.589442795,0.479481506,-0.047388153,-0.524797935,1.249759271,0.397604167,-0.200198468,-0.025552932,0.237842018,-0.727426769,0.354971197,-0.54292619,1.719702846,0.473243176,0.124504686,0.180647057,-0.349320703,-0.440845501,1.149818368,0.29241357,-0.137919484,0.828391522,0.0691884,0.08595072,-0.393082282,0.123874804,-0.061911156,-0.020714128,0.362202227,0.208432299,-0.824175654,0.350999845,-0.588426682,-0.117095576,0.023026503,1.077219641,0.026187937,0.020581773,0.013509958,0.007265397,0.595730477,-0.446790206,-0.050353493,0.373299534,-0.038177168,-0.159559659,0.228620694,-0.15801188,0.08953653,0.546130098,0.396964781,0.414422089,-0.106565719,0.017422059,-0.527409575,0.16658382,0.409854278,0.536109805,0.16881811
LLGL1,0.29674355,0.03740206,0.140991595,0.62723636,-0.139159373,0.599734221,0.398382984,0.085769304,-0.048207949,-0.250352536,0.206891248,0.010811463,-0.140228424,0.104577939,-0.274707196,0.184737625,0.410032842,0.180748555,0.107039189,0.294579812,-0.024865351,0.064000482,0.312831957,0.705040306,0.456477805,-0.305970896,0.207361832,0.437834336,0.007976292,-0.092429108,-0.345117455,0.448231404,0.024266373,-0.364508136,-0.29831671,-0.027051932,0.51199568,-0.262432207,0.006661387,0.367647281,-0.204156771,0.03496664,-0.494699477,-0.100773791,0.259736898,-0.381141508,-0.136930323,0.100890217,-0.250025694,-0.022718706,0.305182953,0.606506184,-0.044278033,0.175213521,0.143035796,0.09557623,-0.018225032,-0.195053918,-0.025874415,0.306785976
LRRC41,0.070008778,0.634028161,0.671047941,0.434245092,0.4478398,0.085466741,0.475526762,0.14128062,-0.094898744,0.051572774,0.030185542,-0.082997211,-0.550933082,1.214191519,0.034419921,0.328287658,0.026981754,-0.297967328,-0.738903629,0.388506302,0.15979145,0.738793078,0.880731841,0.693625906,0.09976295,0.326258291,-0.248043827,-0.534049526,-0.187887288,0.477046312,0.679350722,-0.01088543,0.956163124,0.090241397,0.035765155,0.09611192,0.48963472,0.276263714,-0.318631332,-0.042029785,-0.200894493,-0.106548388,-0.481247424,-0.695781726,-0.336808182,0.184647345,-0.046055203,0.539441586,-0.038401578,0.488856609,0.141368812,0.67061978,0.237237422,0.14130971,-0.57351078,0.615907996,0.229770648,0.154582932,0.000215249,0.368890662
TMED2,0.046404225,-0.721766212,-0.008681223,0.060393136,0.816154549,-0.379247931,-0.381537858,0.258931524,-0.234436067,-0.014307991,-0.204598217,0.514204247,0.113452891,0.340145082,0.071403421,-0.007932014,0.008753304,-0.424015962,-0.114798265,0.267238009,0.2120019,0.146545004,0.195148306,0.3135486,0.284723143,-0.270445575,0.114748146,0.427942985,0.180027912,0.009986712,0.202999358,-0.213911638,1.066848713,0.621582536,0.244911832,0.876721389,-0.20557566,0.075237172,0.791893194,0.719558724,0.143635555,0.53994816,-0.013753982,-0.349062301,-0.268605646,0.139071971,0.101181052,0.358574251,0.155361473,0.01288049,-0.596935925,0.32847554,-0.111137495,-0.113905121,-0.237583991,0.22271495,0.476064028,-0.035595021,0.444068205,0.176207319
PCBP1,-0.105991824,0.034171154,-0.085082061,0.414113168,0.323384778,0.067314092,-0.492113925,-0.168011878,-0.043136807,0.027805505,-0.030202041,-0.179987399,-0.165591144,0.138489942,0.10749717,-0.351864061,0.257995939,0.216991589,0.0810777,0.189371024,-0.046817616,0.403630999,0.324493571,-0.097352099,0.450413761,-0.30369717,0.000248832,0.296185141,0.051579973,0.155890084,-0.518274029,-0.256490512,-0.962132979,0.165274368,0.204917252,0.420691712,-0.280636206,-0.474123265,-0.148419412,-0.06666529,-0.20913804,-0.099219541,0.354310621,0.233345137,-0.025139689,-0.155154436,0.107354976,0.251919833,-0.014989759,-0.12610733,0.371331439,0.233110662,-0.027875873,-0.13731901,0.440201591,-0.143631616,-0.075815736,0.276415807,-0.175266159,-0.071962669
