,AP.27JZ,AP.2XNK,AP.3336,AP.352Q,AP.3FY5,AP.4HAU,AP.4M7L,AP.52RG,AP.5JDU,AP.5L2V,AP.5MX6,AP.62LT,AP.67ZV,AP.7GDN,AP.8MWD,AP.9D3B,AP.9LNA,AP.9PXS,AP.A5NG,AP.AAFC,AP.AGZG,AP.B2SL,AP.B9CH,AP.CT3G,AP.D35H,AP.D9X4,AP.DM87,AP.DMUM,AP.DT88,AP.E7CU,AP.E98M,AP.EPNF,AP.EZEX,AP.FX68,AP.HKYN,AP.HMFR,AP.HML4,AP.JBET,AP.JK59,AP.KX5B,AP.KXUT,AP.LWHD,AP.MAZ4,AP.N8FG,AP.NMZS,AP.QAHT,AP.QUHC,AP.RA2G,AP.RBLG,AP.SJVE,AP.SS2L,AP.U8MP,AP.W455,AP.WDKZ,AP.WPAM,AP.WTXJ,AP.XCJX,AP.XSR5,AP.XVLY,AP.YTZ8
SVIL,-0.052319939,-0.430076446,0.47010257,1.777027018,0.168924035,0.036621406,-0.328765215,-0.173996023,-0.201527941,-0.453605137,0.097913544,0.453293162,0.294752433,-0.020226191,-0.338207956,0.673569758,0.51150852,-0.531813497,-0.345676463,-0.108838183,-0.565082926,-0.242113028,0.04079958,0.5048367,0.948721399,0.157742999,0.372658138,0.381160938,-0.085785065,0.407341696,0.463619909,0.032799545,-1.003866522,-0.784607515,-0.374866118,0.115258503,-0.005882853,-0.046284697,-0.663843127,-0.327841271,0.093478225,-0.278740047,-0.327667376,-0.246029454,0.090406197,0.37329146,-0.164358376,-0.943795484,-0.808927618,0.03092526,-0.241020291,0.352658961,0.558355672,0.56181489,-0.349465902,0.045663441,-0.104799833,-0.507156693,0.267122439,-0.133096221
PIGN,0.537995092,0.866453589,0.549240039,0.375183519,-0.473467845,-0.123218527,0.75605813,-0.076715049,0.201148368,0.117721662,-0.169686087,0.116986669,-0.994259937,1.076054747,-1.092513033,0.267770108,-0.190134022,0.888056946,-1.068778145,0.064330921,0.186690267,0.142389862,0.317587778,0.943644677,-0.175995539,0.577875999,-0.061108293,0.522715641,0.137128974,0.27902101,0.197654191,-0.469348137,0.024499024,1.0422983,0.551366991,-0.593441819,0.475560246,0.748632422,0.05408392,0.723023087,-0.018213741,0.538899388,0.5497958,0.37085332,-0.170864392,-0.050273026,0.12016087,-0.288678795,0.634057387,0.040666754,-0.063694633,-0.585988155,-0.029619921,0.326180378,0.271305447,0.010058857,-0.368554302,0.697170086,0.743689105,0.440346076
PAPLN,0.106207214,-0.281098839,0.577457247,-0.262284816,-0.071893212,0.277608604,0.528024588,0.520248356,-0.14419687,-0.522200945,-0.002987869,0.234377834,0.464959863,0.234606058,0.255710755,0.044484075,0.433845662,0.041710571,0.009705707,0.406172612,1.029036798,-0.619030188,-0.328074898,-0.332571982,0.425158731,0.389806143,0.427550887,-0.539639569,0.067619824,0.149911564,0.635342996,1.056991695,-0.274545752,-0.478294096,-0.295220445,0.080800073,0.437616445,0.456554024,-0.912351924,0.605681158,0.39549521,0.483593756,-0.457974824,1.539989094,1.657290212,-0.249714857,-0.38603538,-1.784227726,-0.431385706,0.022392643,-0.129813686,0.358354505,0.42558775,0.03638655,-0.707472998,-0.091950353,1.251254477,-1.11077413,-1.207714026,0.628314098
BAG4,0.061599407,0.646362928,0.282175148,0.815373759,0.058963179,0.744476501,-0.209855317,-0.001813155,0.754620724,0.647556639,-0.04646138,-0.032142059,0.502912223,0.523500034,-0.050441821,0.037190318,0.710014588,-0.095730604,0.443372021,0.269642493,-0.207751298,0.459661249,0.077707158,0.148902568,-0.139518219,0.369021794,0.147027403,-0.045962269,0.194909281,-0.15150149,0.17023317,-0.148247722,-0.293618375,0.334580144,0.623046325,0.239413354,-0.342059143,0.202591426,0.114094646,-0.070975631,-0.035738156,-0.555385862,-0.281872804,0.016236563,-0.463071242,0.225089457,0.596774439,0.128727042,0.216680111,-0.210990744,0.613398105,0.020721234,-0.264346666,0.407746306,-0.018417354,0.145819214,0.067224912,0.606731483,-0.257710017,-0.778607098
AHSA1,0.096048824,-0.137748195,-0.137037622,1.113093099,0.036705778,0.134407017,-0.026466804,0.110956131,-0.306402655,0.131712117,0.638879168,-0.250346351,0.082602901,-0.013653458,-0.199874279,-0.381680379,0.031343558,-0.659593812,0.660059488,0.629773966,-0.250557512,0.677976205,0.451036829,-0.433234029,-0.041183737,-0.05490544,-0.036564843,0.849309461,0.11542675,-0.588026137,-0.287968704,-0.464032279,-0.337936303,-0.611752544,-0.114670963,0.348215341,0.145929225,0.030380366,-0.398826385,-0.420832351,-0.27946949,-0.796711285,0.09107967,0.139683432,-0.680693856,-0.121123792,-0.563074819,-0.072919262,0.178932618,-0.37625765,0.430531201,0.494287544,-0.593647013,-0.252295537,0.042276379,-0.338806637,-0.454765185,-0.283665985,-0.201829197,-0.268396325
SLC34A2,1.410047258,-1.848458823,0.997185108,-1.466288759,-1.030515372,-0.595151192,-0.361338022,0.981528011,-2.270827021,-2.269492499,-1.338796769,-0.654471098,-0.611930296,-1.451473013,-1.700143162,1.85638136,-0.358689701,-0.215899961,-2.34044777,-0.065875824,-0.963054695,-1.030701649,0.665273976,0.014204664,-1.432489283,0.573712422,0.829351464,-0.458734854,-0.446224739,0.750812263,2.780257141,1.454855121,1.264124198,0.016209298,1.844688003,-0.326126762,1.650644315,0.769132646,-0.51183921,0.734047994,1.348410785,2.359716006,-1.119456319,1.435818183,0.953451113,-1.119168517,-1.260015081,-0.491721717,1.43334233,-0.756603488,2.742925049,-0.781490723,1.661251485,-1.112167233,-1.10732261,-0.750261383,-0.412730887,-0.574588403,-0.021311906,-0.632206835
PARN,0.24144975,0.749104965,0.334059873,-0.001708458,-0.368436941,0.229557674,-0.020403154,-0.344803382,-0.083241484,-0.463508805,-0.157945647,-0.873262521,-0.619354809,0.296945939,0.164517911,-0.072085612,-0.789402425,-0.282080813,-0.348769859,0.315305733,0.221908082,-0.062763522,0.870734358,0.423744169,0.610979762,0.171241662,-0.172468609,1.244089175,-0.418973245,-0.107732052,-0.369253753,-0.049489935,0.043397071,1.327902528,0.60051155,-0.178940196,0.043471846,-0.147249212,0.538127132,-0.309898896,0.015750886,-0.638057135,0.439547196,-0.574748088,-0.501739063,0.125070089,-0.299175934,0.478140761,0.427478573,-0.111932887,0.411758372,0.451221833,-0.23077995,-0.128722574,-0.039135086,0.761184284,0.580985353,1.187083337,-0.448488085,-0.243982167
PSMG1,0.190717566,0.806600734,0.369667805,0.876166297,0.482933411,0.598631689,-1.350313698,-0.168593351,-0.162447036,-0.350227329,0.567122461,-0.329523996,0.043626531,-0.026241596,0.549260953,-0.927584174,-0.557819845,-0.158542387,0.864934511,0.056100279,0.174570163,0.220274237,-0.433242607,-0.271459547,-0.163779611,-0.27859033,-0.456422753,0.596201097,0.048720088,0.787220042,-0.390799173,-0.155736948,0.281743215,-0.176088771,0.021485815,0.225094005,-0.182027315,-0.312391758,0.005227166,0.113508698,-0.081521445,-0.12399703,0.704482775,-0.430517271,-0.249736492,-0.062565367,-0.039862989,0.686896316,0.436599379,-0.093286669,-0.216629939,0.824864733,-0.740006341,0.640551499,0.643493778,0.725517712,0.191046346,0.240734071,-0.286227485,0.096241575
FMNL1,0.465765537,-1.438255078,0.248166991,-1.146903163,0.12661547,-0.739089086,-0.224364127,0.577271196,0.792351129,-0.503970776,-0.769344648,0.19626268,-0.00273357,-1.09161271,-0.020553532,-0.568827437,-0.009957239,-0.921808928,-0.052432637,-0.360789349,0.611380996,-0.398156003,-0.63574682,-0.502380453,0.110729708,0.11595482,0.45590733,-0.311107534,-0.045851032,-0.040839271,-0.453928904,-0.436840447,-1.13205632,-1.044148331,0.091748404,0.316005419,-0.17169294,-0.16177728,0.011256265,0.595368256,0.321541445,0.401599312,0.69805096,0.97922448,0.179222171,0.072549955,-0.673765703,-0.76831013,0.124662218,-0.111083673,-0.354534307,-0.327176239,0.509887773,-0.22679773,-1.040401795,-0.158972987,0.947195323,-1.306458866,0.046383726,0.130873646
SGPL1,-0.36544307,0.219781638,-0.005113886,-0.526230993,-0.019728994,0.006754995,-0.579651581,-0.162123238,0.316421438,-0.516818327,0.253933325,-0.410626243,-0.212698735,-0.881587176,-0.097643017,-0.486323912,-0.004658709,-0.441420207,0.226116593,-0.07761502,-0.277784822,0.319427582,-1.403238263,-0.330690885,0.217430983,-0.977846302,-0.160357425,-0.520768292,0.283348291,0.459572162,0.072451304,-0.992107278,-0.016238129,-0.306322503,0.213577944,0.023277547,-0.360247435,-0.58613391,-0.522250429,-0.397715174,-0.699339343,-0.49807205,0.591820826,-0.402724275,-0.689781141,-0.45592481,-0.357075714,-1.082794361,0.263624721,-1.206742937,-0.36710492,-0.122559765,-0.357958813,-0.830377135,0.256563651,-0.213434427,0.234670204,1.085388744,-0.040417344,-0.766644206
