Gene	RNA_log2FC	RNA_Pval	RNA_FDR	Prot_log2FC	Prot_Pval	Prot_FDR	Meta_PVal	Meta_FDR
AATF	0.17376775183438	0.0857074176122506	0.324893422000824	0.259420897190342	0.0043265706097214	0.0204208724227791	0.00330021551180065	0.0100567741860418
ABAT	-0.146011757914049	0.54832275160646	0.878477400733233	-0.269345901101134	0.256519708554296	0.404746765839901	0.416543251142977	0.505015604825624
ABCA1	-0.232687974455978	0.176855043532697	0.501409527780588	-0.164196111114972	0.192060500919246	0.328691538323025	0.148855345148461	0.225928730235487
ABCA13	-1.06841782823706	0.0108785090919241	0.0817355141079099	-0.281521735825735	0.00104426442355519	0.00744478400837942	0.000140698696012592	0.000746132474525258
ABCA2	0.0297032130290953	0.85305283008123	0.979412103366344	-0.262813103375424	0.0155555220697525	0.0523388005600298	0.0706248663517335	0.122268072608932
ABCA3	-1.36653402984957	7.68605285803505e-05	0.00237141018473316	-0.919556271870463	0.00147181380140723	0.00947226680344762	1.92252410043729e-06	2.15046408360291e-05
ABCA6	-0.925658017641966	9.77011651252948e-07	0.000118898342963614	-0.742782756799703	8.57343921828368e-07	8.12724195492152e-05	2.41307521296431e-11	2.97762494787883e-09
ABCA8	-1.23951519404808	1.15646094972605e-05	0.00062594274947458	-0.916454252968142	0.000755053049346151	0.00598228295288407	1.70763385129702e-07	3.10448665131176e-06
ABCB10	0.106585299668148	0.252888978014911	0.611060396971896	-0.210644193785082	0.132204177205423	0.25209181198149	0.147045375537555	0.223681401876346
ABCB6	1.11776904715959	5.35632320151116e-06	0.00037674574280728	0.502335043154329	0.0278016673124501	0.0799195940944085	2.48983811224136e-06	2.64262363276526e-05
ABCB7	0.0743572144528146	0.396769928756666	0.760513611841445	-0.113883940264986	0.493875764712373	0.632526505049623	0.515336306869316	0.597973454136204
ABCB8	-0.0124477420449365	0.924577822765008	0.979412103366344	-0.21716586971864	0.114572726381976	0.227235409917261	0.343743476968247	0.433347605855701
ABCC1	0.342914973946742	0.0156475092844264	0.10531492748135	0.235987304517995	0.0690970773423916	0.157281060354251	0.0084654352837549	0.0219098484378998
ABCC10	0.121256238410938	0.299684560649317	0.668265262013455	-0.320091445463665	0.0445221212929205	0.113185786819465	0.0709398199225881	0.122699614458699
ABCC3	-0.514375063413061	0.126779261971272	0.413472748861035	-0.592168382446154	0.0126432473149151	0.045096910944763	0.011919084840771	0.0291234146272861
ABCC4	-0.0449324121478911	0.812668537421724	0.979412103366344	-0.0698114588416763	0.748933327626913	0.838957155997171	0.91084426593551	0.929826121692357
